Organizer;Competition;Matchday;Group;Location;Date;Venue;House_Team;Opponent;Result;Position;Goals;Goals1;Goals2;Goals_Team;Goals_Opponent
UEFA;European Championship;Qualification;Grupo J;Bósnia-Herzegovina ;2023-10-16;A;Bósnia;Portugal;00:05;CF;2;0;5;5;0
UEFA;European Championship;Qualification;Grupo J;Liechtenstein ;2023-11-16;A;Liechtenstein;Portugal;00:02;LW;1;0;2;2;0
FIFA;Friendly matches;;;Portugal ;2024-06-11;H;Portugal;Ireland;03:00;CF;2;3;0;3;0
UEFA;Nations League;;Grupo 1;Portugal ;2024-09-05;H;Portugal;Croatia;02:01;CF;1;2;1;2;1
UEFA;Nations League;;Grupo 1;Portugal ;2024-09-08;H;Portugal;Scotland;02:01;CF;1;2;1;2;1
UEFA;Nations League;;Grupo 1;Polónia ;2024-10-12;A;Polónia;Portugal;01:03;CF;1;1;3;3;1
UEFA;Nations League;;Grupo 1;Portugal ;2024-11-15;H;Portugal;Poland;05:01;CF;2;5;1;5;1
UEFA;Nations League;Quarter-finals;Grupo A;Portugal ;2025-03-23;H;Portugal;Denmark;05:02;CF;1;5;2;5;2
UEFA;Nations League;Semi-finals;Grupo A;Alemanha ;2025-06-04;A;Alemanha;Portugal;01:02;CF;1;1;2;2;1
UEFA;Nations League;Final;Grupo A;Alemanha ;2025-06-08;H;Portugal;Spain;02:02;CF;1;2;2;2;2
FIFA;World Cup;Knockout stage;Grupo F;Arménia ;2025-09-06;A;Arménia;Portugal;00:05;CF;2;0;5;5;0
FIFA;World Cup;Knockout stage;Grupo F;Hungria ;2025-09-09;A;Hungria;Portugal;02:03;CF;1;2;3;3;2
FIFA;World Cup;Knockout stage;Grupo F;Portugal ;2025-10-14;H;Portugal;Hungary;02:02;CF;2;2;2;2;2
