Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Category,Organizer,MatchStage,Date_clean,Date_Year,Result_clean,Goals1,Goals2,Goals_Team,Goals_Opponent,Decision,Play_Position_clean,Minute_clean
2002/2003,Liga Portugal,6,10-07-02,H,Sporting CP,Moreirense FC,3:00,LW,34,2:00,Solo run,No assist,National Leagues,Portuguese Football Federation (FPF),Matchday,2002-10-07,2002,3:00,3,0,3,0,Normal,LW,34
2002/2003,Liga Portugal,6,10-07-02,H,Sporting CP,Moreirense FC,3:00,LW,90+5,3:00,Header,Rui Jorge,National Leagues,Portuguese Football Federation (FPF),Matchday,2002-10-07,2002,3:00,3,0,3,0,Normal,LW,95
2002/2003,Liga Portugal,8,10/26/02,A,Sporting CP,Boavista FC,1:02,,88,1:02,Right-footed shot,Carlos Martins,National Leagues,Portuguese Football Federation (FPF),Matchday,2002-10-26,2002,1:02,1,2,2,1,Normal,LW,88
2002/2003,Taca de Portugal Placard,Round 4,11/24/02,H,Sporting CP,CD Estarreja,4:01,,67,3:00,Left-footed shot,Cesar Prates,National Cups,Portuguese Football Federation (FPF),Stage,2002-11-24,2002,4:01,4,1,4,1,Normal,LW,67
2002/2003,Taca de Portugal Placard,Round 5,12/18/02,H,Sporting CP,FC Oliveira do Hospital,8:01,,13,3:00,Right-footed shot,No assist,National Cups,Portuguese Football Federation (FPF),Stage,2002-12-18,2002,8:01,8,1,8,1,Normal,LW,13
2003/2004,Premier League,11,11-01-03,H,Manchester United,Portsmouth FC,3:00,RW,80,2:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2003-11-01,2003,3:00,3,0,3,0,Normal,RW,80
2003/2004,FA Cup,Round 5,2/14/04,H,Manchester United,Manchester City,4:02,RW,74,3:00,Right-footed shot,No assist,National Cups,English Football Association (FA),Stage,2004-02-14,2004,4:02,4,2,4,2,Normal,RW,74
2003/2004,Premier League,29,3/20/04,H,Manchester United,Tottenham Hotspur,3:00,,89,2:00,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2004-03-20,2004,3:00,3,0,3,0,Normal,LW,89
2003/2004,Premier League,32,04-10-04,A,Manchester United,Birmingham City,1:02,,60,1:01,Header,Ryan Giggs,National Leagues,English Football Association (FA),Matchday,2004-04-10,2004,1:02,1,2,2,1,Normal,LW,60
2003/2004,Premier League,38,5/15/04,A,Manchester United,Aston Villa,0:02,,4,0:01,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2004-05-15,2004,0:02,0,2,2,0,Normal,LW,4
2003/2004,FA Cup,Final,5/22/04,H,Manchester United,Millwall FC,3:00,RW,44,1:00,Header,Gary Neville,National Cups,English Football Association (FA),Stage,2004-05-22,2004,3:00,3,0,3,0,Normal,RW,44
2004/2005,Premier League,16,12-04-04,H,Manchester United,Southampton FC,3:00,,87,3:00,Right-footed shot,Gary Neville,National Leagues,English Football Association (FA),Matchday,2004-12-04,2004,3:00,3,0,3,0,Normal,LW,87
2004/2005,FA Cup,Round 3,1/19/05,A,Manchester United,Exeter City,0:02,,9,0:01,Right-footed shot,Paul Scholes,National Cups,English Football Association (FA),Stage,2005-01-19,2005,0:02,0,2,2,0,Normal,LW,9
2004/2005,Premier League,24,1/22/05,H,Manchester United,Aston Villa,3:01,,8,1:00,Right-footed shot,Louis Saha,National Leagues,English Football Association (FA),Matchday,2005-01-22,2005,3:01,3,1,3,1,Normal,LW,8
2004/2005,Premier League,25,02-01-05,A,Manchester United,Arsenal FC,2:04,RW,54,2:02,Left-footed shot,Ryan Giggs,National Leagues,English Football Association (FA),Matchday,2005-02-01,2005,2:04,2,4,4,2,Normal,RW,54
2004/2005,Premier League,25,02-01-05,A,Manchester United,Arsenal FC,2:04,RW,58,2:03,Tap-in,Ryan Giggs,National Leagues,English Football Association (FA),Matchday,2005-02-01,2005,2:04,2,4,4,2,Normal,RW,58
2004/2005,FA Cup,Round 5,2/19/05,A,Manchester United,Everton FC,0:02,,58,0:02,Tap-in,Paul Scholes,National Cups,English Football Association (FA),Stage,2005-02-19,2005,0:02,0,2,2,0,Normal,LW,58
2004/2005,FA Cup,Round 6,03-12-05,A,Manchester United,Southampton FC,0:04,,45+1,0:02,Left-footed shot,Ruud van Nistelrooy,National Cups,English Football Association (FA),Stage,2005-03-12,2005,0:04,0,4,4,0,Normal,LW,46
2004/2005,Premier League,30,3/19/05,H,Manchester United,Fulham FC,1:00,,21,1:00,Right-footed shot,Roy Keane,National Leagues,English Football Association (FA),Matchday,2005-03-19,2005,1:00,1,0,1,0,Normal,LW,21
2004/2005,FA Cup,Semi-Finals,4/17/05,A,Manchester United,Newcastle United,1:04,RW,76,1:04,Right-footed shot,Ruud van Nistelrooy,National Cups,English Football Association (FA),Stage,2005-04-17,2005,1:04,1,4,4,1,Normal,RW,76
2005/2006,UEFA Champions League Qualifying,Round 3,08-09-05,H,Manchester United,Debreceni VSC,3:00,,63,3:00,Right-footed shot,Paul Scholes,International,UEFA,Stage,2005-08-09,2005,3:00,3,0,3,0,Normal,LW,63
2005/2006,Premier League,11,10/29/05,A,Manchester United,Middlesbrough FC,4:01,,90,4:01,Header,Paul Scholes,National Leagues,English Football Association (FA),Matchday,2005-10-29,2005,4:01,4,1,1,4,Normal,LW,90
2005/2006,EFL Cup,Last 16,11/30/05,H,Manchester United,West Bromwich Albion,3:01,RW,12,1:01,Penalty,No assist,National Cups,English Football Association (FA),Stage,2005-11-30,2005,3:01,3,1,3,1,Normal,RW,12
2005/2006,Premier League,20,12/31/05,H,Manchester United,Bolton Wanderers,4:01,,68,3:01,Right-footed shot,Wayne Rooney,National Leagues,English Football Association (FA),Matchday,2005-12-31,2005,4:01,4,1,4,1,Normal,LW,68
2005/2006,Premier League,20,12/31/05,H,Manchester United,Bolton Wanderers,4:01,,90,4:01,Left-footed shot,Ruud van Nistelrooy,National Leagues,English Football Association (FA),Matchday,2005-12-31,2005,4:01,4,1,4,1,Normal,LW,90
2005/2006,Premier League,25,02-04-06,H,Manchester United,Fulham FC,4:02,,14,2:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2006-02-04,2006,4:02,4,2,4,2,Normal,LW,14
2005/2006,Premier League,25,02-04-06,H,Manchester United,Fulham FC,4:02,,87,4:02,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2006-02-04,2006,4:02,4,2,4,2,Normal,LW,87
2005/2006,Premier League,26,02-11-06,A,Manchester United,Portsmouth FC,1:03,RW,38,0:02,Left-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2006-02-11,2006,1:03,1,3,3,1,Normal,RW,38
2005/2006,Premier League,26,02-11-06,A,Manchester United,Portsmouth FC,1:03,RW,45,0:03,Right-footed shot,Wayne Rooney,National Leagues,English Football Association (FA),Matchday,2006-02-11,2006,1:03,1,3,3,1,Normal,RW,45
2005/2006,EFL Cup,Final,2/26/06,H,Manchester United,Wigan Athletic,4:00,RW,59,3:00,Right-footed shot,Louis Saha,National Cups,English Football Association (FA),Stage,2006-02-26,2006,4:00,4,0,4,0,Normal,RW,59
2005/2006,Premier League,28,03-06-06,A,Manchester United,Wigan Athletic,1:02,,74,1:01,Right-footed shot,Ruud van Nistelrooy,National Leagues,English Football Association (FA),Matchday,2006-03-06,2006,1:02,1,2,2,1,Normal,LW,74
2005/2006,Premier League,38,05-07-06,H,Manchester United,Charlton Athletic,4:00,RW,23,2:00,Left-footed shot,Ryan Giggs,National Leagues,English Football Association (FA),Matchday,2006-05-07,2006,4:00,4,0,4,0,Normal,RW,23
2006/2007,Premier League,1,8/20/06,H,Manchester United,Fulham FC,5:01,,19,4:00,Right-footed shot,Wayne Rooney,National Leagues,English Football Association (FA),Matchday,2006-08-20,2006,5:01,5,1,5,1,Normal,LW,19
2006/2007,Premier League,6,9/23/06,A,Manchester United,Reading FC,1:01,CF,73,1:01,Right-footed shot,John OShea,National Leagues,English Football Association (FA),Matchday,2006-09-23,2006,1:01,1,1,1,1,Normal,CF,73
2006/2007,Premier League,10,10/28/06,A,Manchester United,Bolton Wanderers,0:04,,82,0:03,Right-footed shot,Louis Saha,National Leagues,English Football Association (FA),Matchday,2006-10-28,2006,0:04,0,4,4,0,Normal,LW,82
2006/2007,Premier League,11,11-04-06,H,Manchester United,Portsmouth FC,3:00,RW,10,2:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2006-11-04,2006,3:00,3,0,3,0,Normal,RW,10
2006/2007,Premier League,15,11/29/06,H,Manchester United,Everton FC,3:00,,39,1:00,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2006-11-29,2006,3:00,3,0,3,0,Normal,LW,39
2006/2007,Premier League,17,12-09-06,H,Manchester United,Manchester City,3:01,,84,3:01,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2006-12-09,2006,3:01,3,1,3,1,Normal,LW,84
2006/2007,Premier League,19,12/23/06,A,Manchester United,Aston Villa,0:03,,58,0:01,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2006-12-23,2006,0:03,0,3,3,0,Normal,LW,58
2006/2007,Premier League,19,12/23/06,A,Manchester United,Aston Villa,0:03,,85,0:03,Right-footed shot,Gary Neville,National Leagues,English Football Association (FA),Matchday,2006-12-23,2006,0:03,0,3,3,0,Normal,LW,85
2006/2007,Premier League,20,12/26/06,H,Manchester United,Wigan Athletic,3:01,,47,1:00,Right-footed shot,Paul Scholes,National Leagues,English Football Association (FA),Matchday,2006-12-26,2006,3:01,3,1,3,1,Normal,LW,47
2006/2007,Premier League,20,12/26/06,H,Manchester United,Wigan Athletic,3:01,,50,2:00,Penalty rebound,Ji-sung Park,National Leagues,English Football Association (FA),Matchday,2006-12-26,2006,3:01,3,1,3,1,Normal,LW,50
2006/2007,Premier League,21,12/30/06,H,Manchester United,Reading FC,3:02,RW,58,2:01,Right-footed shot,Ole Gunnar Solskjaer,National Leagues,English Football Association (FA),Matchday,2006-12-30,2006,3:02,3,2,3,2,Normal,RW,58
2006/2007,Premier League,21,12/30/06,H,Manchester United,Reading FC,3:02,RW,77,3:01,Right-footed shot,Ryan Giggs,National Leagues,English Football Association (FA),Matchday,2006-12-30,2006,3:02,3,2,3,2,Normal,RW,77
2006/2007,Premier League,23,1/13/07,H,Manchester United,Aston Villa,3:01,,34,3:00,Header,Michael Carrick,National Leagues,English Football Association (FA),Matchday,2007-01-13,2007,3:01,3,1,3,1,Normal,LW,34
2006/2007,Premier League,25,1/31/07,H,Manchester United,Watford FC,4:00,RW,12,1:00,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2007-01-31,2007,4:00,4,0,4,0,Normal,RW,12
2006/2007,Premier League,26,02-03-07,A,Manchester United,Tottenham Hotspur,0:04,RW,45,0:01,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2007-02-03,2007,0:04,0,4,4,0,Normal,RW,45
2006/2007,Premier League,28,2/24/07,A,Manchester United,Fulham FC,1:02,,88,1:02,Solo run,No assist,National Leagues,English Football Association (FA),Matchday,2007-02-24,2007,1:02,1,2,2,1,Normal,LW,88
2006/2007,FA Cup,Round 6,03-10-07,A,Manchester United,Middlesbrough FC,2:02,RW,68,2:02,Penalty,No assist,National Cups,English Football Association (FA),Stage,2007-03-10,2007,2:02,2,2,2,2,Normal,RW,68
2006/2007,FA Cup,Round 6,3/19/07,H,Manchester United,Middlesbrough FC,1:00,,76,1:00,Penalty,No assist,National Cups,English Football Association (FA),Stage,2007-03-19,2007,1:00,1,0,1,0,Normal,LW,76
2006/2007,UEFA Champions League,Quarter-Finals,04-10-07,H,Manchester United,AS Roma,7:01,RW,44,4:00,Right-footed shot,Ryan Giggs,International,UEFA,Stage,2007-04-10,2007,7:01,7,1,7,1,Normal,RW,44
2006/2007,UEFA Champions League,Quarter-Finals,04-10-07,H,Manchester United,AS Roma,7:01,RW,49,5:00,Right-footed shot,Ryan Giggs,International,UEFA,Stage,2007-04-10,2007,7:01,7,1,7,1,Normal,RW,49
2006/2007,FA Cup,Semi-Finals,4/14/07,A,Manchester United,Watford FC,1:04,,28,1:02,Right-footed shot,Wayne Rooney,National Cups,English Football Association (FA),Stage,2007-04-14,2007,1:04,1,4,4,1,Normal,LW,28
2006/2007,UEFA Champions League,Semi-Finals,4/24/07,H,Manchester United,AC Milan,3:02,RW,5,1:00,Header,Ryan Giggs,International,UEFA,Stage,2007-04-24,2007,3:02,3,2,3,2,Normal,RW,5
2006/2007,Premier League,37,05-05-07,A,Manchester United,Manchester City,0:01,RW,34,0:01,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2007-05-05,2007,0:01,0,1,1,0,Normal,RW,34
2007/2008,UEFA Champions League,Group Stage,9/19/07,A,Manchester United,Sporting CP,0:01,RW,62,0:01,Header,Wes Brown,International,UEFA,Stage,2007-09-19,2007,0:01,0,1,1,0,Normal,RW,62
2007/2008,Premier League,8,9/29/07,A,Manchester United,Birmingham City,0:01,RW,51,0:01,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2007-09-29,2007,0:01,0,1,1,0,Normal,RW,51
2007/2008,Premier League,9,10-06-07,H,Manchester United,Wigan Athletic,4:00,RW,59,2:00,Header,Ryan Giggs,National Leagues,English Football Association (FA),Matchday,2007-10-06,2007,4:00,4,0,4,0,Normal,RW,59
2007/2008,Premier League,9,10-06-07,H,Manchester United,Wigan Athletic,4:00,RW,76,3:00,Right-footed shot,Wayne Rooney,National Leagues,English Football Association (FA),Matchday,2007-10-06,2007,4:00,4,0,4,0,Normal,RW,76
