Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Category,Organizer,MatchStage,Date_clean,Date_Year,Result_clean,Goals1,Goals2,Goals_Team,Goals_Opponent,Decision,Play_Position_clean,Minute_clean
2007/2008,UEFA Champions League,Group Stage,10/23/07,A,Manchester United,Dynamo Kyiv,2:04,RW,41,1:03,Penalty,No assist,International,UEFA,Stage,2007-10-23,2007,2:04,2,4,4,2,Normal,RW,41
2007/2008,UEFA Champions League,Group Stage,10/23/07,A,Manchester United,Dynamo Kyiv,2:04,RW,68,1:04,Header,Ryan Giggs,International,UEFA,Stage,2007-10-23,2007,2:04,2,4,4,2,Normal,RW,68
2007/2008,Premier League,12,11-03-07,A,Manchester United,Arsenal FC,2:02,RW,82,1:02,Right-footed shot,Patrice Evra,National Leagues,English Football Association (FA),Matchday,2007-11-03,2007,2:02,2,2,2,2,Normal,RW,82
2007/2008,UEFA Champions League,Group Stage,11-07-07,H,Manchester United,Dynamo Kyiv,4:00,RW,88,4:00,Right-footed shot,Patrice Evra,International,UEFA,Stage,2007-11-07,2007,4:00,4,0,4,0,Normal,RW,88
2007/2008,Premier League,13,11-11-07,H,Manchester United,Blackburn Rovers,2:00,RW,34,1:00,Header,Ryan Giggs,National Leagues,English Football Association (FA),Matchday,2007-11-11,2007,2:00,2,0,2,0,Normal,RW,34
2007/2008,Premier League,13,11-11-07,H,Manchester United,Blackburn Rovers,2:00,RW,35,2:00,Right-footed shot,Carlos Tevez,National Leagues,English Football Association (FA),Matchday,2007-11-11,2007,2:00,2,0,2,0,Normal,RW,35
2007/2008,UEFA Champions League,Group Stage,11/27/07,H,Manchester United,Sporting CP,2:01,RW,90+3,2:01,Direct free kick,No assist,International,UEFA,Stage,2007-11-27,2007,2:01,2,1,2,1,Normal,RW,93
2007/2008,Premier League,15,12-03-07,H,Manchester United,Fulham FC,2:00,,10,1:00,Right-footed shot,Nemanja Vidicâ€Ž,National Leagues,English Football Association (FA),Matchday,2007-12-03,2007,2:00,2,0,2,0,Normal,LW,10
2007/2008,Premier League,15,12-03-07,H,Manchester United,Fulham FC,2:00,,58,2:00,Header,John OShea,National Leagues,English Football Association (FA),Matchday,2007-12-03,2007,2:00,2,0,2,0,Normal,LW,58
2007/2008,Premier League,16,12-08-07,H,Manchester United,Derby County,4:01,,90,4:01,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2007-12-08,2007,4:01,4,1,4,1,Normal,LW,90
2007/2008,Premier League,18,12/23/07,H,Manchester United,Everton FC,2:01,RW,22,1:00,Left-footed shot,Carlos Tevez,National Leagues,English Football Association (FA),Matchday,2007-12-23,2007,2:01,2,1,2,1,Normal,RW,22
2007/2008,Premier League,18,12/23/07,H,Manchester United,Everton FC,2:01,RW,87,2:01,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2007-12-23,2007,2:01,2,1,2,1,Normal,RW,87
2007/2008,Premier League,19,12/26/07,A,Manchester United,Sunderland AFC,0:04,,45,0:03,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2007-12-26,2007,0:04,0,4,4,0,Normal,LW,45
2007/2008,Premier League,20,12/29/07,A,Manchester United,West Ham United,2:01,RW,14,0:01,Header,Ryan Giggs,National Leagues,English Football Association (FA),Matchday,2007-12-29,2007,2:01,2,1,1,2,Normal,RW,14
2007/2008,FA Cup,Round 3,01-05-08,A,Manchester United,Aston Villa,0:02,,81,0:01,Left-footed shot,Ryan Giggs,National Cups,English Football Association (FA),Stage,2008-01-05,2008,0:02,0,2,2,0,Normal,LW,81
2007/2008,Premier League,22,01-12-08,H,Manchester United,Newcastle United,6:00,RW,48,1:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2008-01-12,2008,6:00,6,0,6,0,Normal,RW,48
2007/2008,Premier League,22,01-12-08,H,Manchester United,Newcastle United,6:00,RW,70,3:00,Right-footed shot,Carlos Tevez,National Leagues,English Football Association (FA),Matchday,2008-01-12,2008,6:00,6,0,6,0,Normal,RW,70
2007/2008,Premier League,22,01-12-08,H,Manchester United,Newcastle United,6:00,RW,88,5:00,Left-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2008-01-12,2008,6:00,6,0,6,0,Normal,RW,88
2007/2008,Premier League,23,1/19/08,A,Manchester United,Reading FC,0:02,RW,90+2,0:02,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2008-01-19,2008,0:02,0,2,2,0,Normal,RW,92
2007/2008,FA Cup,Round 4,1/27/08,H,Manchester United,Tottenham Hotspur,3:01,RW,69,2:01,Penalty,No assist,National Cups,English Football Association (FA),Stage,2008-01-27,2008,3:01,3,1,3,1,Normal,RW,69
2007/2008,FA Cup,Round 4,1/27/08,H,Manchester United,Tottenham Hotspur,3:01,RW,88,3:01,Right-footed shot,Ryan Giggs,National Cups,English Football Association (FA),Stage,2008-01-27,2008,3:01,3,1,3,1,Normal,RW,88
2007/2008,Premier League,24,1/30/08,H,Manchester United,Portsmouth FC,2:00,RW,10,1:00,Right-footed shot,Nani,National Leagues,English Football Association (FA),Matchday,2008-01-30,2008,2:00,2,0,2,0,Normal,RW,10
2007/2008,Premier League,24,1/30/08,H,Manchester United,Portsmouth FC,2:00,RW,12,2:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2008-01-30,2008,2:00,2,0,2,0,Normal,RW,12
2007/2008,Premier League,27,2/23/08,A,Manchester United,Newcastle United,1:05,RW,45,0:02,Right-footed shot,Michael Carrick,National Leagues,English Football Association (FA),Matchday,2008-02-23,2008,1:05,1,5,5,1,Normal,RW,45
2007/2008,Premier League,27,2/23/08,A,Manchester United,Newcastle United,1:05,RW,56,0:03,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2008-02-23,2008,1:05,1,5,5,1,Normal,RW,56
2007/2008,UEFA Champions League,Last 16,03-04-08,H,Manchester United,Olympique Lyon,1:00,RW,41,1:00,Left-footed shot,No assist,International,UEFA,Stage,2008-03-04,2008,1:00,1,0,1,0,Normal,RW,41
2007/2008,Premier League,29,3/15/08,A,Manchester United,Derby County,0:01,,76,0:01,Right-footed shot,Wayne Rooney,National Leagues,English Football Association (FA),Matchday,2008-03-15,2008,0:01,0,1,1,0,Normal,LW,76
2007/2008,Premier League,30,3/19/08,H,Manchester United,Bolton Wanderers,2:00,,8,1:00,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2008-03-19,2008,2:00,2,0,2,0,Normal,LW,8
2007/2008,Premier League,30,3/19/08,H,Manchester United,Bolton Wanderers,2:00,,19,2:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2008-03-19,2008,2:00,2,0,2,0,Normal,LW,19
2007/2008,Premier League,31,3/23/08,H,Manchester United,Liverpool FC,3:00,RW,79,2:00,Header,Nani,National Leagues,English Football Association (FA),Matchday,2008-03-23,2008,3:00,3,0,3,0,Normal,RW,79
2007/2008,Premier League,32,3/29/08,H,Manchester United,Aston Villa,4:00,RW,16,1:00,Right-footed shot,No assist,National Leagues,English Football Association (FA),Matchday,2008-03-29,2008,4:00,4,0,4,0,Normal,RW,16
2007/2008,UEFA Champions League,Quarter-Finals,04-01-08,A,Manchester United,AS Roma,0:02,RW,39,0:01,Header,Paul Scholes,International,UEFA,Stage,2008-04-01,2008,0:02,0,2,2,0,Normal,RW,39
2007/2008,Premier League,33,04-06-08,A,Manchester United,Middlesbrough FC,2:02,RW,9,0:01,Left-footed shot,Michael Carrick,National Leagues,English Football Association (FA),Matchday,2008-04-06,2008,2:02,2,2,2,2,Normal,RW,9
2007/2008,Premier League,34,4/13/08,H,Manchester United,Arsenal FC,2:01,RW,53,1:01,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2008-04-13,2008,2:01,2,1,2,1,Normal,RW,53
2007/2008,Premier League,37,05-03-08,H,Manchester United,West Ham United,4:01,RW,3,1:00,Right-footed shot,Edwin van der Sar,National Leagues,English Football Association (FA),Matchday,2008-05-03,2008,4:01,4,1,4,1,Normal,RW,3
2007/2008,Premier League,37,05-03-08,H,Manchester United,West Ham United,4:01,RW,24,2:00,Right-footed shot,Owen Hargreaves,National Leagues,English Football Association (FA),Matchday,2008-05-03,2008,4:01,4,1,4,1,Normal,RW,24
2007/2008,Premier League,38,05-11-08,A,Manchester United,Wigan Athletic,0:02,RW,32,0:01,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2008-05-11,2008,0:02,0,2,2,0,Normal,RW,32
2007/2008,UEFA Champions League,Final,5/21/08,H,Manchester United,Chelsea FC,6:5 on pens,LW,26,1:00,Header,Wes Brown,International,UEFA,Stage,2008-05-21,2008,6:5,6,5,6,5,Penalties,LW,26
2008/2009,EFL Cup,Round 3,9/23/08,H,Manchester United,Middlesbrough FC,3:01,,25,1:00,Header,Ryan Giggs,National Cups,English Football Association (FA),Stage,2008-09-23,2008,3:01,3,1,3,1,Normal,LW,25
2008/2009,Premier League,6,9/27/08,H,Manchester United,Bolton Wanderers,2:00,RW,59,1:00,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2008-09-27,2008,2:00,2,0,2,0,Normal,RW,59
2008/2009,Premier League,8,10/18/08,H,Manchester United,West Bromwich Albion,4:00,RW,69,2:00,Left-footed shot,Wayne Rooney,National Leagues,English Football Association (FA),Matchday,2008-10-18,2008,4:00,4,0,4,0,Normal,RW,69
2008/2009,Premier League,10,10/29/08,H,Manchester United,West Ham United,2:00,RW,14,1:00,Left-footed shot,Nani,National Leagues,English Football Association (FA),Matchday,2008-10-29,2008,2:00,2,0,2,0,Normal,RW,14
2008/2009,Premier League,10,10/29/08,H,Manchester United,West Ham United,2:00,RW,30,2:00,Right-footed shot,Dimitar Berbatov,National Leagues,English Football Association (FA),Matchday,2008-10-29,2008,2:00,2,0,2,0,Normal,RW,30
2008/2009,Premier League,11,11-01-08,H,Manchester United,Hull City,4:03,RW,3,1:00,Left-footed shot,Dimitar Berbatov,National Leagues,English Football Association (FA),Matchday,2008-11-01,2008,4:03,4,3,4,3,Normal,RW,3
2008/2009,Premier League,11,11-01-08,H,Manchester United,Hull City,4:03,RW,43,3:01,Header,Nani,National Leagues,English Football Association (FA),Matchday,2008-11-01,2008,4:03,4,3,4,3,Normal,RW,43
2008/2009,Premier League,13,11/15/08,H,Manchester United,Stoke City,5:00,RW,3,1:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2008-11-15,2008,5:00,5,0,5,0,Normal,RW,3
2008/2009,Premier League,13,11/15/08,H,Manchester United,Stoke City,5:00,RW,88,5:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2008-11-15,2008,5:00,5,0,5,0,Normal,RW,88
2008/2009,FIFA Club World Cup,Semi-Finals,12/18/08,A,Manchester United,Gamba Osaka,3:05,LW,45+1,0:02,Header,Ryan Giggs,International,FIFA,Stage,2008-12-18,2008,3:05,3,5,5,3,Normal,LW,46
2008/2009,EFL Cup,Semi-Finals,1/20/09,H,Manchester United,Derby County,4:02,,89,4:01,Penalty,No assist,National Cups,English Football Association (FA),Stage,2009-01-20,2009,4:02,4,2,4,2,Normal,LW,89
2008/2009,Premier League,23,1/27/09,A,Manchester United,West Bromwich Albion,0:05,LW,65,0:04,Right-footed shot,Ryan Giggs,National Leagues,English Football Association (FA),Matchday,2009-01-27,2009,0:05,0,5,5,0,Normal,LW,65
2008/2009,Premier League,23,1/27/09,A,Manchester United,West Bromwich Albion,0:05,LW,73,0:05,Right-footed shot,Dimitar Berbatov,National Leagues,English Football Association (FA),Matchday,2009-01-27,2009,0:05,0,5,5,0,Normal,LW,73
2008/2009,Premier League,24,1/31/09,H,Manchester United,Everton FC,1:00,LW,43,1:00,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2009-01-31,2009,1:00,1,0,1,0,Normal,LW,43
2008/2009,FA Cup,Round 5,2/15/09,A,Manchester United,Derby County,1:04,CF,68,1:03,Header,Ryan Giggs,National Cups,English Football Association (FA),Stage,2009-02-15,2009,1:04,1,4,4,1,Normal,CF,68
2008/2009,Premier League,26,2/21/09,H,Manchester United,Blackburn Rovers,2:01,,60,2:01,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2009-02-21,2009,2:01,2,1,2,1,Normal,LW,60
2008/2009,UEFA Champions League,Last 16,03-11-09,H,Manchester United,FC Internazionale,2:00,RW,49,2:00,Header,Wayne Rooney,International,UEFA,Stage,2009-03-11,2009,2:00,2,0,2,0,Normal,RW,49
2008/2009,Premier League,29,3/14/09,H,Manchester United,Liverpool FC,1:04,RW,22,1:00,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2009-03-14,2009,1:04,1,4,1,4,Normal,RW,22
2008/2009,Premier League,31,04-05-09,H,Manchester United,Aston Villa,3:02,RW,11,1:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2009-04-05,2009,3:02,3,2,3,2,Normal,RW,11
2008/2009,Premier League,31,04-05-09,H,Manchester United,Aston Villa,3:02,RW,80,2:02,Left-footed shot,Michael Carrick,National Leagues,English Football Association (FA),Matchday,2009-04-05,2009,3:02,3,2,3,2,Normal,RW,80
2008/2009,UEFA Champions League,Quarter-Finals,4/15/09,A,Manchester United,FC Porto,0:01,RW,6,0:01,Long distance kick,Anderson,International,UEFA,Stage,2009-04-15,2009,0:01,0,1,1,0,Normal,RW,6
2008/2009,Premier League,34,4/25/09,H,Manchester United,Tottenham Hotspur,5:02,RW,57,1:02,Penalty,No assist,National Leagues,English Football Association (FA),Matchday,2009-04-25,2009,5:02,5,2,5,2,Normal,RW,57
2008/2009,Premier League,34,4/25/09,H,Manchester United,Tottenham Hotspur,5:02,RW,68,3:02,Header,Wayne Rooney,National Leagues,English Football Association (FA),Matchday,2009-04-25,2009,5:02,5,2,5,2,Normal,RW,68
2008/2009,UEFA Champions League,Semi-Finals,05-05-09,A,Manchester United,Arsenal FC,1:03,CF,11,0:02,Direct free kick,No assist,International,UEFA,Stage,2009-05-05,2009,1:03,1,3,3,1,Normal,CF,11
2008/2009,UEFA Champions League,Semi-Finals,05-05-09,A,Manchester United,Arsenal FC,1:03,CF,61,0:03,Right-footed shot,Wayne Rooney,International,UEFA,Stage,2009-05-05,2009,1:03,1,3,3,1,Normal,CF,61
